"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 16 20:33:32 MSK 2025","Wed Jul 16 20:33:36 MSK 2025","4316","","CreateOrdersTest","","CreateOrdersTest","createOrderWithIngredients","Создание заказа c ингредиентами","Создаем заказ с ингредиентами"
"passed","Wed Jul 16 20:33:20 MSK 2025","Wed Jul 16 20:33:25 MSK 2025","4572","","CreateOrdersTest","","CreateOrdersTest","getOrderUserNoAuthorize","Получить список заказов конкретного пользователя который не авторизован","Получаем список заказов конкретного пользователя который не авторизован"
"passed","Wed Jul 16 20:33:40 MSK 2025","Wed Jul 16 20:33:41 MSK 2025","1149","","ChangeDataUserTest","","ChangeDataUserTest","withoutAuthorizationAndChangeName","Изменение имени без авторизации","Проверка, что система возвращает ошибку при попытке изменения поля name без авторизации."
"passed","Wed Jul 16 20:33:01 MSK 2025","Wed Jul 16 20:33:02 MSK 2025","1322","","LoginUserTest","","LoginUserTest","withoutPassword","Авторизация без указания пароля","Проверка, что система возвращает ошибку при попытке авторизации без указания поля password."
"passed","Wed Jul 16 20:32:51 MSK 2025","Wed Jul 16 20:32:51 MSK 2025","411","","CreateOrderWithoutAuthorizationTest","","CreateOrderWithoutAuthorizationTest","withoutIngredients","Создание заказа без ингредиентов без авторизации","Проверка, что система возвращает ошибку при попытке создания заказа без ингредиентов без авторизации."
"passed","Wed Jul 16 20:32:56 MSK 2025","Wed Jul 16 20:32:57 MSK 2025","1223","","LoginUserTest","","LoginUserTest","withIncorrectEmail","Авторизация с некорректным логином","Проверка, что система возвращает ошибку при попытке авторизации с некорректным полем email."
"passed","Wed Jul 16 20:32:52 MSK 2025","Wed Jul 16 20:32:52 MSK 2025","488","","CreateOrderWithoutAuthorizationTest","","CreateOrderWithoutAuthorizationTest","oneIngredient","Создание заказа с одним ингредиентом без авторизации","Проверка, что система возвращает ошибку при попытке создания заказа с одним ингредиентом без авторизации."
"passed","Wed Jul 16 20:33:00 MSK 2025","Wed Jul 16 20:33:01 MSK 2025","1378","","LoginUserTest","","LoginUserTest","withIncorrectName","Авторизация с некорректным именем","Проверка, что авторизация проходит успешно, даже если указано некорректное имя (оно не влияет на авторизацию)."
"passed","Wed Jul 16 20:33:02 MSK 2025","Wed Jul 16 20:33:04 MSK 2025","1959","","CreateUsersTest","","CreateUsersTest","createUserRegisteredTest","Создание пользователя который уже зарегистрирован","Здесь мы сначала создаем обычного пользователя а потом пытаемся создать его повторно"
"passed","Wed Jul 16 20:33:38 MSK 2025","Wed Jul 16 20:33:40 MSK 2025","2440","","ChangeDataUserTest","","ChangeDataUserTest","authorizationAndRepeatEmail","Попытка изменения логина на уже существующий","Проверка, что система возвращает ошибку при попытке изменения поля email на уже существующий в системе."
"passed","Wed Jul 16 20:32:55 MSK 2025","Wed Jul 16 20:32:56 MSK 2025","1307","","LoginUserTest","","LoginUserTest","withoutEmail","Авторизация без указания логина","Проверка, что система возвращает ошибку при попытке авторизации без указания поля email."
"passed","Wed Jul 16 20:33:27 MSK 2025","Wed Jul 16 20:33:32 MSK 2025","4734","","CreateOrdersTest","","CreateOrdersTest","getOrderUserAuthorize","Получить список заказов конкретного пользователя который авторизован","Получаем список заказов конкретного пользователя который авторизован"
"passed","Wed Jul 16 20:32:58 MSK 2025","Wed Jul 16 20:33:00 MSK 2025","1261","","LoginUserTest","","LoginUserTest","successAuthorization","Успешная авторизация пользователя","Проверка успешной авторизации пользователя с корректными полями email, password, name."
"passed","Wed Jul 16 20:32:47 MSK 2025","Wed Jul 16 20:32:51 MSK 2025","4368","","ReceivingOrdersTest","","ReceivingOrdersTest","receivingOrdersWithAuthorization","Получение заказов без авторизации конкректного пользователя","Проверка, что система возвращает ошибку при попытке получения списка заказов без авторизации конкретного пользователя."
"passed","Wed Jul 16 20:33:41 MSK 2025","Wed Jul 16 20:33:43 MSK 2025","1228","","ChangeDataUserTest","","ChangeDataUserTest","authorizationAndChangeEmail","Изменение логина авторизованного пользователя","Проверка успешного изменения поля email авторизованного пользователя."
"passed","Wed Jul 16 20:33:15 MSK 2025","Wed Jul 16 20:33:16 MSK 2025","1253","","CreateOrderTest","","CreateOrderTest","incorrectHashIngredients","Создание заказа с некорректным хэшем ингредиентов","Проверка, что система возвращает ошибку при попытке создания заказа с некорректным хэшем ингредиентов."
"passed","Wed Jul 16 20:33:44 MSK 2025","Wed Jul 16 20:33:45 MSK 2025","1099","","ChangeDataUserTest","","ChangeDataUserTest","withoutAuthorizationAndChangeEmail","Изменение логина без авторизации","Проверка, что система возвращает ошибку при попытке изменения поля email без авторизации."
